,title,genres,genres_list,release_date,budget,revenue,tmdbid,imdbid,runtime,vote_average,vote_count,keywords,keywords_list
14546,Planet 51 ( 2009 ),Science Fiction|Animation|Family|Comedy|Adventure,"['Science Fiction', 'Animation', 'Family', 'Comedy', 'Adventure']",2009-11-19,70000000,104945765,16866,16866,91.0,5.6,573,flying saucer|alien life-form|spaceship|alien|alien planet|planet|duringcreditsstinger,"['flying saucer', 'alien life-form', 'spaceship', 'alien', 'alien planet', 'planet', 'duringcreditsstinger']"
14547,Me and Orson Welles ( 2009 ),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",2009-11-25,25000000,2336172,12404,12404,114.0,6.6,50,new york|based on novel|historical figure|theater|1930s,"['new york', 'based on novel', 'historical figure', 'theater', '1930s']"
14554,Morphine ( 2008 ),History|Drama,"['History', 'Drama']",2008-11-27,3600000,766075,51284,51284,110.0,6.2,10,,[]
14555,The Lovely Bones ( 2009 ),Fantasy|Drama,"['Fantasy', 'Drama']",2009-12-26,65000000,93525586,7980,7980,136.0,6.6,1101,rape|1970s|evidence|tree|afterlife|loss of daughter|serial killer|corpse|pedophile|teenage love|grieving|childhood sexual abuse|based on young adult novel,"['rape', '1970s', 'evidence', 'tree', 'afterlife', 'loss of daughter', 'serial killer', 'corpse', 'pedophile', 'teenage love', 'grieving', 'childhood sexual abuse', 'based on young adult novel']"
14556,Invictus ( 2009 ),Drama|History,"['Drama', 'History']",2009-12-10,60000000,122233971,22954,22954,134.0,7.0,1150,stadium|south africa|apartheid|nelson mandela|sport|nation|rugby|president|racism|poverty|celebration|duringcreditsstinger,"['stadium', 'south africa', 'apartheid', 'nelson mandela', 'sport', 'nation', 'rugby', 'president', 'racism', 'poverty', 'celebration', 'duringcreditsstinger']"
14558,The Princess and the Frog ( 2009 ),Romance|Family|Animation|Music,"['Romance', 'Family', 'Animation', 'Music']",2009-12-08,105000000,267045765,10198,10198,97.0,6.7,1293,based on novel|voodoo|kiss|princess|animation|cajun|firefly|based on fairy tale|duringcreditsstinger|big dreams|frog prince|charlatan,"['based on novel', 'voodoo', 'kiss', 'princess', 'animation', 'cajun', 'firefly', 'based on fairy tale', 'duringcreditsstinger', 'big dreams', 'frog prince', 'charlatan']"
14561,Armored ( 2009 ),Action|Crime|Drama|Thriller,"['Action', 'Crime', 'Drama', 'Thriller']",2009-12-04,20000000,22942221,4597,4597,88.0,5.5,211,robbery|homeless person|bank|armored car|truck|heist,"['robbery', 'homeless person', 'bank', 'armored car', 'truck', 'heist']"
14563,Invaders from Mars ( 1986 ),Mystery|Science Fiction|Horror,"['Mystery', 'Science Fiction', 'Horror']",1986-01-01,12000000,4884663,31909,31909,100.0,5.5,59,space invasion|remake|alien invasion,"['space invasion', 'remake', 'alien invasion']"
14595,Did You Hear About the Morgans? ( 2009 ),Comedy,['Comedy'],2009-12-17,58000000,85280250,24438,24438,103.0,5.1,281,witness protection|comedy|duringcreditsstinger,"['witness protection', 'comedy', 'duringcreditsstinger']"
14609,Nasty Old People ( 2009 ),Drama,['Drama'],2009-10-10,15000,5300,23947,23947,84.0,6.0,6,woman director,['woman director']
14613,Avatar ( 2009 ),Action|Adventure|Fantasy|Science Fiction,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",2009-12-10,237000000,2787965087,19995,19995,162.0,7.2,12114,culture clash|future|space war|space colony|society|space travel|futuristic|romance|space|alien|tribe|alien planet|cgi|marine|soldier|battle|love affair|anti war|power relations|mind and soul|3d,"['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'cgi', 'marine', 'soldier', 'battle', 'love affair', 'anti war', 'power relations', 'mind and soul', '3d']"
14614,Nine ( 2009 ),Drama|Music|Romance,"['Drama', 'Music', 'Romance']",2009-12-03,80000000,53825515,10197,10197,112.0,5.1,169,memory|sidewalk cafe|room key|driving a car|coastline|stairway|search for meaning|sequins|singing photograph|sliding down a pole|costume designer|duringcreditsstinger|1960s,"['memory', 'sidewalk cafe', 'room key', 'driving a car', 'coastline', 'stairway', 'search for meaning', 'sequins', 'singing photograph', 'sliding down a pole', 'costume designer', 'duringcreditsstinger', '1960s']"
14618,It's Complicated ( 2009 ),Comedy|Romance,"['Comedy', 'Romance']",2009-12-23,85000000,219103655,22897,22897,121.0,6.2,370,graduation|ex husband|woman director,"['graduation', 'ex husband', 'woman director']"
14619,Sherlock Holmes ( 2009 ),Action|Adventure|Crime|Mystery,"['Action', 'Adventure', 'Crime', 'Mystery']",2009-12-23,90000000,524028679,10528,10528,128.0,7.0,5883,detective|scotland yard|coffin|black magic|arrest|partner|sherlock holmes|murder|steampunk|pentagram|clue,"['detective', 'scotland yard', 'coffin', 'black magic', 'arrest', 'partner', 'sherlock holmes', 'murder', 'steampunk', 'pentagram', 'clue']"
14620,Crazy Heart ( 2009 ),Drama|Music|Romance,"['Drama', 'Music', 'Romance']",2009-12-16,7000000,39462438,25196,25196,112.0,6.8,279,taxi|country music|journalist|guitar|bar|musician|alcoholism|independent film|singer|memory|texan|alcoholic|drink|guilt|biscuit,"['taxi', 'country music', 'journalist', 'guitar', 'bar', 'musician', 'alcoholism', 'independent film', 'singer', 'memory', 'texan', 'alcoholic', 'drink', 'guilt', 'biscuit']"
14624,Alvin and the Chipmunks: The Squeakquel ( 2009 ),Comedy|Family|Animation|Fantasy|Music,"['Comedy', 'Family', 'Animation', 'Fantasy', 'Music']",2009-12-21,75000000,443140005,23398,23398,88.0,5.3,688,chipmunk|cgi|based on tv series|aftercreditsstinger|duringcreditsstinger|woman director,"['chipmunk', 'cgi', 'based on tv series', 'aftercreditsstinger', 'duringcreditsstinger', 'woman director']"
14626,Guru ( 2007 ),Drama,['Drama'],2007-01-12,4700000,31000000,15772,15772,166.0,6.7,24,industrialist|biography|tycoon|idealism|rise to power,"['industrialist', 'biography', 'tycoon', 'idealism', 'rise to power']"
14631,Beyond a Reasonable Doubt ( 2009 ),Crime|Drama|Mystery,"['Crime', 'Drama', 'Mystery']",2009-02-05,25000000,4388563,25137,25137,105.0,5.5,79,reporter|criminal,"['reporter', 'criminal']"
14635,Trapeze ( 1956 ),Drama,['Drama'],1956-05-30,4000000,14400000,40494,40494,105.0,6.4,23,circus|trapeze artist,"['circus', 'trapeze artist']"
14669,Pontypool ( 2009 ),Horror|Mystery|Science Fiction,"['Horror', 'Mystery', 'Science Fiction']",2009-03-06,1500000,32000,23963,23963,93.0,6.6,187,disc jockey|radio station|winter|survival|zombie|fear|ontario canada|radio broadcast|talk radio|zombie apocalypse|trapped in building,"['disc jockey', 'radio station', 'winter', 'survival', 'zombie', 'fear', 'ontario canada', 'radio broadcast', 'talk radio', 'zombie apocalypse', 'trapped in building']"
14677,The Matriarch ( 2007 ),Comedy|Drama,"['Comedy', 'Drama']",2007-09-14,1400000,435000,148077,148077,90.0,5.3,3,,[]
14682,Daybreakers ( 2009 ),Fantasy|Horror|Action|Thriller|Science Fiction,"['Fantasy', 'Horror', 'Action', 'Thriller', 'Science Fiction']",2009-01-06,20000000,51416464,19901,19901,98.0,6.0,646,female nudity|sunrise|waitress|experiment|rain|sunlight|vampire|dystopia|beautiful woman|slow motion scene|undead|decapitation|scientist|epidemic|night creatures,"['female nudity', 'sunrise', 'waitress', 'experiment', 'rain', 'sunlight', 'vampire', 'dystopia', 'beautiful woman', 'slow motion scene', 'undead', 'decapitation', 'scientist', 'epidemic', 'night creatures']"
14687,Hachi: A Dog's Tale ( 2009 ),Drama|Family,"['Drama', 'Family']",2009-06-13,16000000,47801389,28178,28178,93.0,7.7,1769,japanese|loyalty|human animal relationship|friendship|friends|family relationships|dog|newspaper reporter|family dog|waiting,"['japanese', 'loyalty', 'human animal relationship', 'friendship', 'friends', 'family relationships', 'dog', 'newspaper reporter', 'family dog', 'waiting']"
14692,Leap Year ( 2010 ),Romance|Comedy,"['Romance', 'Comedy']",2010-01-08,19000000,29922472,25195,25195,100.0,6.5,474,taxi|bar|wales|marriage proposal|airplane|pub|cow|wedding ring|wedding|proposal|cardiologist|ireland|cliffs,"['taxi', 'bar', 'wales', 'marriage proposal', 'airplane', 'pub', 'cow', 'wedding ring', 'wedding', 'proposal', 'cardiologist', 'ireland', 'cliffs']"
14693,The Book of Eli ( 2010 ),Action|Thriller|Science Fiction,"['Action', 'Thriller', 'Science Fiction']",2010-01-14,80000000,157107755,20504,20504,118.0,6.6,2207,book|post-apocalyptic|dystopia|faith|blind,"['book', 'post-apocalyptic', 'dystopia', 'faith', 'blind']"
14694,The Girl Who Kicked the Hornet's Nest ( 2009 ),Action|Thriller|Crime|Mystery,"['Action', 'Thriller', 'Crime', 'Mystery']",2009-11-27,4000000,43498108,33613,33613,147.0,7.0,451,hacker|hospital|pedophile|bullet|computer hacker|newspaper man|threat,"['hacker', 'hospital', 'pedophile', 'bullet', 'computer hacker', 'newspaper man', 'threat']"
14733,Horsemen ( 2009 ),Crime|Drama|Horror|Mystery|Thriller,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",2009-02-06,20000000,1017401,18476,18476,90.0,5.5,124,police|murder|serial killer,"['police', 'murder', 'serial killer']"
14744,Soul Kitchen ( 2009 ),Drama|Comedy,"['Drama', 'Comedy']",2009-09-09,5000000,17872796,31175,31175,99.0,7.0,117,,[]
14751,The House on Sorority Row ( 1983 ),Horror|Mystery|Thriller,"['Horror', 'Mystery', 'Thriller']",1983-01-21,425000,10604986,40229,40229,91.0,6.0,34,female nudity|psychopath|stalker|murder|prank|sorority|slasher,"['female nudity', 'psychopath', 'stalker', 'murder', 'prank', 'sorority', 'slasher']"
14760,The Other Man ( 2008 ),Drama|Thriller|Mystery|Romance,"['Drama', 'Thriller', 'Mystery', 'Romance']",2008-12-25,15000000,1143856,17606,17606,90.0,5.1,58,woman between two men|betrayal,"['woman between two men', 'betrayal']"
14772,Asterix at the Olympic Games ( 2008 ),Fantasy|Adventure|Comedy|Family,"['Fantasy', 'Adventure', 'Comedy', 'Family']",2008-01-13,97250400,132900000,2395,2395,116.0,5.0,486,competition|greece|colosseum|olympic games|emperor|magic|horse|roman|wild boar|governance|galier,"['competition', 'greece', 'colosseum', 'olympic games', 'emperor', 'magic', 'horse', 'roman', 'wild boar', 'governance', 'galier']"
14794,3 Idiots ( 2009 ),Drama|Comedy|Romance,"['Drama', 'Comedy', 'Romance']",2009-12-23,9000000,70000000,20453,20453,170.0,7.8,850,suicide|suicide attempt|college|friends|engineering|bollywood|student|subjective camera,"['suicide', 'suicide attempt', 'college', 'friends', 'engineering', 'bollywood', 'student', 'subjective camera']"
14802,Legion ( 2010 ),Horror,['Horror'],2010-01-21,26000000,67918658,22894,22894,100.0,5.2,643,angel|diner|religion|apocalypse|demon|desert|angels,"['angel', 'diner', 'religion', 'apocalypse', 'demon', 'desert', 'angels']"
14815,Beautiful ( 2009 ),Drama|Mystery|Thriller,"['Drama', 'Mystery', 'Thriller']",2009-04-27,1500000,56000,21033,21033,97.0,4.6,17,suspense,['suspense']
14829,Four Eyed Monsters ( 2005 ),Comedy|Drama|Fantasy|Romance,"['Comedy', 'Drama', 'Fantasy', 'Romance']",2005-01-21,250000,245000,46336,46336,71.0,6.0,10,independent film,['independent film']
14830,Extraordinary Measures ( 2010 ),Drama,['Drama'],2010-01-21,31000000,15134293,27569,27569,105.0,6.0,93,,[]
14833,The Red Baron ( 2008 ),Action|Adventure|Drama|History|War,"['Action', 'Adventure', 'Drama', 'History', 'War']",2008-03-29,18000000,40239,8349,8349,120.0,6.4,80,flying|nurse|world war i|airplane,"['flying', 'nurse', 'world war i', 'airplane']"
14840,Edge of Darkness ( 2010 ),Crime|Drama|Mystery|Thriller,"['Crime', 'Drama', 'Mystery', 'Thriller']",2010-01-29,80000000,74901339,12201,12201,117.0,6.2,496,murder|violence|death of daughter|homicide detective,"['murder', 'violence', 'death of daughter', 'homicide detective']"
14854,I Love You Phillip Morris ( 2009 ),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",2009-01-18,13000000,10652035,8952,8952,98.0,6.4,514,judge|small town|con man|fraud|jail|white collar criminal,"['judge', 'small town', 'con man', 'fraud', 'jail', 'white collar criminal']"
14874,Fish Tank ( 2009 ),Drama,['Drama'],2009-05-14,3000000,2357852,24469,24469,123.0,6.9,256,dancing|mother|alcohol|sex|adultery|fight|nudity|sister|friendship|party|independent film|school|essex|teenager|theft|violence|apartment|estate|boyfriend|teenage rebellion|voyeur|woman director|aggressive,"['dancing', 'mother', 'alcohol', 'sex', 'adultery', 'fight', 'nudity', 'sister', 'friendship', 'party', 'independent film', 'school', 'essex', 'teenager', 'theft', 'violence', 'apartment', 'estate', 'boyfriend', 'teenage rebellion', 'voyeur', 'woman director', 'aggressive']"
14878,The Wounds ( 1998 ),War|Drama|Comedy|Crime,"['War', 'Drama', 'Comedy', 'Crime']",1998-05-27,10000,150000,51022,51022,103.0,7.2,16,,[]
14883,Valentine's Day ( 2010 ),Comedy|Romance,"['Comedy', 'Romance']",2010-02-10,52000000,216485654,32856,32856,125.0,5.7,1043,flower|married couple|florist|kiss|single|valentine|valentine's day|multiple storylines|aftercreditsstinger|duringcreditsstinger,"['flower', 'married couple', 'florist', 'kiss', 'single', 'valentine', ""valentine's day"", 'multiple storylines', 'aftercreditsstinger', 'duringcreditsstinger']"
14886,Shutter Island ( 2010 ),Drama|Thriller|Mystery,"['Drama', 'Thriller', 'Mystery']",2010-02-18,80000000,294804195,11324,11324,138.0,7.8,6559,based on novel|island|hurricane|investigation|psychiatric hospital|u.s. marshal|conspiracy theory|1950s,"['based on novel', 'island', 'hurricane', 'investigation', 'psychiatric hospital', 'u.s. marshal', 'conspiracy theory', '1950s']"
14894,Ondine ( 2009 ),Drama|Romance,"['Drama', 'Romance']",2009-09-14,12000000,1644755,38448,38448,111.0,6.5,84,alcohol|mermaid|wedding dress|fishing net|selkie,"['alcohol', 'mermaid', 'wedding dress', 'fishing net', 'selkie']"
14902,Percy Jackson & the Olympians: The Lightning Thief ( 2010 ),Adventure|Fantasy|Family,"['Adventure', 'Fantasy', 'Family']",2010-02-01,95000000,226497209,32657,32657,118.0,6.0,2079,monster|greek mythology|god|poseidon  |lightning bolt|based on young adult novel,"['monster', 'greek mythology', 'god', 'poseidon \xa0', 'lightning bolt', 'based on young adult novel']"
14903,Cop Out ( 2010 ),Action|Comedy|Crime,"['Action', 'Comedy', 'Crime']",2010-02-26,30000000,55583804,23742,23742,107.0,5.3,518,new york|money laundering|daughter|police|undercover cop|locked in trunk of car|baseball card|wedding|police officer|duringcreditsstinger,"['new york', 'money laundering', 'daughter', 'police', 'undercover cop', 'locked in trunk of car', 'baseball card', 'wedding', 'police officer', 'duringcreditsstinger']"
14906,The Ghost Writer ( 2010 ),Thriller|Mystery,"['Thriller', 'Mystery']",2010-02-12,45000000,60222298,11439,11439,128.0,6.7,681,london england|cia|war crimes|tony blair|author,"['london england', 'cia', 'war crimes', 'tony blair', 'author']"
14911,The Spy Next Door ( 2010 ),Action|Comedy|Family,"['Action', 'Comedy', 'Family']",2010-01-15,28000000,45236543,23172,23172,94.0,5.5,351,duringcreditsstinger,['duringcreditsstinger']
14912,I Hope They Serve Beer in Hell ( 2009 ),Comedy|Drama,"['Comedy', 'Drama']",2009-09-25,7000000,1429299,30128,30128,106.0,5.7,20,female nudity|based on novel|stripper|dark comedy|aftercreditsstinger,"['female nudity', 'based on novel', 'stripper', 'dark comedy', 'aftercreditsstinger']"
14919,Agora ( 2009 ),Adventure|Drama|History,"['Adventure', 'Drama', 'History']",2009-05-17,70000000,39041505,26428,26428,127.0,6.9,404,christianity|philosophy|egypt|new love|war|cult|historical figure|history|sword fight|ancient world|destiny|fall in love|hypatia|misogyny|persecution|library of alexandria|political unrest|impossible love|false history|power relations|unfulfillment|master and servant|love and romance|unfulfilled love,"['christianity', 'philosophy', 'egypt', 'new love', 'war', 'cult', 'historical figure', 'history', 'sword fight', 'ancient world', 'destiny', 'fall in love', 'hypatia', 'misogyny', 'persecution', 'library of alexandria', 'political unrest', 'impossible love', 'false history', 'power relations', 'unfulfillment', 'master and servant', 'love and romance', 'unfulfilled love']"
14921,Singh Is Kinng ( 2008 ),Action|Comedy,"['Action', 'Comedy']",2008-01-01,14000000,25000000,12273,12273,135.0,5.3,22,bollywood,['bollywood']
14926,District 13: Ultimatum ( 2009 ),Action|Thriller|Crime,"['Action', 'Thriller', 'Crime']",2009-02-18,15000000,8786375,15357,15357,101.0,6.0,323,prison|martial arts|evidence|chase|delinquency|parkour|shootout|duringcreditsstinger,"['prison', 'martial arts', 'evidence', 'chase', 'delinquency', 'parkour', 'shootout', 'duringcreditsstinger']"
14933,The Crazies ( 2010 ),Mystery|Horror|Action,"['Mystery', 'Horror', 'Action']",2010-02-26,20000000,54956140,29427,29427,101.0,6.2,649,terror|biological weapon|cover-up|splatter|duringcreditsstinger|virus,"['terror', 'biological weapon', 'cover-up', 'splatter', 'duringcreditsstinger', 'virus']"
14934,Dear John ( 2010 ),Drama|Romance|War,"['Drama', 'Romance', 'War']",2010-02-04,25000000,114977104,22971,22971,115.0,6.6,1302,based on novel|army|love|u.s. soldier,"['based on novel', 'army', 'love', 'u.s. soldier']"
14936,Tooth Fairy ( 2010 ),Comedy|Family|Fantasy,"['Comedy', 'Family', 'Fantasy']",2010-01-14,48000000,112462508,23023,23023,101.0,5.2,500,fairy|hockey player|tooth fairy|tooth|duringcreditsstinger|wings,"['fairy', 'hockey player', 'tooth fairy', 'tooth', 'duringcreditsstinger', 'wings']"
14945,[REC]² ( 2009 ),Thriller|Horror,"['Thriller', 'Horror']",2009-09-15,5600000,18469680,10664,10664,85.0,6.5,496,religion and supernatural|blood sample|occult|swat team|gas mask|night vision|freezer|found footage,"['religion and supernatural', 'blood sample', 'occult', 'swat team', 'gas mask', 'night vision', 'freezer', 'found footage']"
14952,My Name Is Khan ( 2010 ),Drama|Romance,"['Drama', 'Romance']",2010-02-12,12000000,42345360,26022,26022,145.0,7.7,237,bollywood,['bollywood']
14953,Alice in Wonderland ( 2010 ),Family|Fantasy|Adventure,"['Family', 'Fantasy', 'Adventure']",2010-03-03,200000000,1025491110,12155,12155,108.0,6.4,4773,based on novel|fictional place|queen|fantasy|alice in wonderland|fantasy world|3d,"['based on novel', 'fictional place', 'queen', 'fantasy', 'alice in wonderland', 'fantasy world', '3d']"
14955,Green Zone ( 2010 ),War|Action|Adventure|Drama|Thriller,"['War', 'Action', 'Adventure', 'Drama', 'Thriller']",2010-03-11,100000000,94882889,22972,22972,115.0,6.4,730,weapon of mass destruction|baghdad|iraqi ,"['weapon of mass destruction', 'baghdad', 'iraqi\xa0']"
14958,The Fall of the Roman Empire ( 1964 ),War|Drama|History,"['War', 'Drama', 'History']",1964-03-24,19000000,4750000,17277,17277,188.0,6.0,34,roman empire|ancient rome,"['roman empire', 'ancient rome']"
14960,From Paris with Love ( 2010 ),Action|Crime|Thriller,"['Action', 'Crime', 'Thriller']",2010-02-05,52000000,52826594,26389,26389,92.0,6.2,684,paris|cia|undercover|explosive|pimp|ambassador|anti hero|revelation|french|politician|firearm|deception|car crash|gang,"['paris', 'cia', 'undercover', 'explosive', 'pimp', 'ambassador', 'anti hero', 'revelation', 'french', 'politician', 'firearm', 'deception', 'car crash', 'gang']"
14970,Brooklyn's Finest ( 2009 ),Crime|Drama|Thriller,"['Crime', 'Drama', 'Thriller']",2009-01-16,17000000,29536299,26390,26390,133.0,6.2,296,male nudity|female nudity|tattoo|gambling|corruption|father son relationship|prostitute|robbery|detective|police brutality|wife husband relationship|card game|desperation|undercover|kidnapping|drug dealer|retirement|death of a friend|asthma|police|fellatio|blood splatter|revenge|deception|murder|betrayal|priest|breast|bag of money|shootout|blood on shirt|shot in the back|undercover cop|blood|suicidal|f word|shot to death|punched in the face|redemption|police officer killed|hospital|dirty cop|police corruption|pistol|new york city|church|violence|strangulation|foot chase|police detective|father daughter relationship|police station|held at gunpoint|catholic|guilt|brooklyn new york city|narcotics cop|nypd|missing person|racial slur|swat team|ensemble cast|pregnant wife|confessional|drive by shooting|shot in the shoulder|gun in mouth|police raid|reference to god|razor blade|shot through a door|stealing money|police officer shot|expecting twins|lens flare|flashback|money problems|family man|neo-noir|bmw|apathy|confession booth|thoughts of retirement|hail mary|working in the nude|drug raid|ironing money|bedtime prayer|briefing|shot point blank|reference to gregory hines|police badge|sex slave|trail of blood|gold watch|man slaps a woman|mold,"['male nudity', 'female nudity', 'tattoo', 'gambling', 'corruption', 'father son relationship', 'prostitute', 'robbery', 'detective', 'police brutality', 'wife husband relationship', 'card game', 'desperation', 'undercover', 'kidnapping', 'drug dealer', 'retirement', 'death of a friend', 'asthma', 'police', 'fellatio', 'blood splatter', 'revenge', 'deception', 'murder', 'betrayal', 'priest', 'breast', 'bag of money', 'shootout', 'blood on shirt', 'shot in the back', 'undercover cop', 'blood', 'suicidal', 'f word', 'shot to death', 'punched in the face', 'redemption', 'police officer killed', 'hospital', 'dirty cop', 'police corruption', 'pistol', 'new york city', 'church', 'violence', 'strangulation', 'foot chase', 'police detective', 'father daughter relationship', 'police station', 'held at gunpoint', 'catholic', 'guilt', 'brooklyn new york city', 'narcotics cop', 'nypd', 'missing person', 'racial slur', 'swat team', 'ensemble cast', 'pregnant wife', 'confessional', 'drive by shooting', 'shot in the shoulder', 'gun in mouth', 'police raid', 'reference to god', 'razor blade', 'shot through a door', 'stealing money', 'police officer shot', 'expecting twins', 'lens flare', 'flashback', 'money problems', 'family man', 'neo-noir', 'bmw', 'apathy', 'confession booth', 'thoughts of retirement', 'hail mary', 'working in the nude', 'drug raid', 'ironing money', 'bedtime prayer', 'briefing', 'shot point blank', 'reference to gregory hines', 'police badge', 'sex slave', 'trail of blood', 'gold watch', 'man slaps a woman', 'mold']"
14971,She's Out of My League ( 2010 ),Comedy|Romance,"['Comedy', 'Romance']",2010-03-11,20000000,49779728,34016,34016,104.0,5.9,544,confidence|romantic comedy|dating|insecurity|airport security|unlikely lovers|twenty something|duringcreditsstinger,"['confidence', 'romantic comedy', 'dating', 'insecurity', 'airport security', 'unlikely lovers', 'twenty something', 'duringcreditsstinger']"
14972,Harry Brown ( 2009 ),Thriller|Crime|Drama|Action,"['Thriller', 'Crime', 'Drama', 'Action']",2009-11-11,7300000,10329747,25941,25941,103.0,6.7,351,self-defense|widower,"['self-defense', 'widower']"
14976,Remember Me ( 2010 ),Drama|Romance,"['Drama', 'Romance']",2010-03-12,16000000,56032889,23169,23169,113.0,6.9,980,new york|father son relationship|grieving|romantic drama|young adult|college student|21st century,"['new york', 'father son relationship', 'grieving', 'romantic drama', 'young adult', 'college student', '21st century']"
15003,Our Family Wedding ( 2010 ),Comedy,['Comedy'],2010-03-12,14000000,21409028,34563,34563,103.0,5.7,40,interracial marriage|wedding|duringcreditsstinger,"['interracial marriage', 'wedding', 'duringcreditsstinger']"
15004,The Bounty Hunter ( 2010 ),Action,['Action'],2010-03-16,40000000,136000000,27573,27573,110.0,5.6,878,bounty hunter|ex-husband ex-wife relationship,"['bounty hunter', 'ex-husband ex-wife relationship']"
15006,Leaves of Grass ( 2009 ),Comedy|Crime|Drama|Thriller,"['Comedy', 'Crime', 'Drama', 'Thriller']",2009-09-13,9000000,985117,12834,12834,104.0,5.9,143,brother brother relationship|mentor|restart|kitchen|road trip|twin brother|profanity|independent film|hospital,"['brother brother relationship', 'mentor', 'restart', 'kitchen', 'road trip', 'twin brother', 'profanity', 'independent film', 'hospital']"
15007,Women in Trouble ( 2009 ),Comedy|Drama,"['Comedy', 'Drama']",2009-11-13,3000000,18097,31723,31723,92.0,5.2,30,women|infidelity|stewardess|aftercreditsstinger,"['women', 'infidelity', 'stewardess', 'aftercreditsstinger']"
15011,The Card Player ( 2004 ),Horror|Mystery|Thriller,"['Horror', 'Mystery', 'Thriller']",2004-01-02,2600000,1479042,15483,15483,103.0,4.7,46,italian|police|serial killer|giallo|slasher|card playing|video poker,"['italian', 'police', 'serial killer', 'giallo', 'slasher', 'card playing', 'video poker']"
15018,The Egyptian ( 1954 ),History|Drama,"['History', 'Drama']",1954-08-25,5000000,15000000,24973,24973,139.0,6.0,11,egypt,['egypt']
15024,Repo Men ( 2010 ),Action|Science Fiction|Thriller|Crime,"['Action', 'Science Fiction', 'Thriller', 'Crime']",2010-03-18,32000000,18409891,31867,31867,111.0,6.2,627,dystopia|evil corporation|repo man|aftercreditsstinger,"['dystopia', 'evil corporation', 'repo man', 'aftercreditsstinger']"
15029,Case 39 ( 2009 ),Horror|Mystery|Thriller,"['Horror', 'Mystery', 'Thriller']",2009-08-13,27000000,29000000,28355,28355,109.0,6.1,580,child abuse|detective|social worker|supernatural|murder|mental institution|youth|violence|danger|cityscape|drawn|falling elevator|pier|psychological|deadly|mind and soul|supernatural ability,"['child abuse', 'detective', 'social worker', 'supernatural', 'murder', 'mental institution', 'youth', 'violence', 'danger', 'cityscape', 'drawn', 'falling elevator', 'pier', 'psychological', 'deadly', 'mind and soul', 'supernatural ability']"
15038,Hot Tub Time Machine ( 2010 ),Science Fiction|Comedy|Adventure,"['Science Fiction', 'Comedy', 'Adventure']",2010-03-26,36000000,64572262,23048,23048,101.0,5.9,911,female nudity|one-night stand|time travel|time machine|incest overtones|hot tub|peter pan syndrome|forty something|skiing,"['female nudity', 'one-night stand', 'time travel', 'time machine', 'incest overtones', 'hot tub', 'peter pan syndrome', 'forty something', 'skiing']"
15039,Chloe ( 2009 ),Drama|Thriller|Mystery,"['Drama', 'Thriller', 'Mystery']",2009-03-25,15000000,8459458,28211,28211,96.0,5.9,514,toronto|lesbian|remake of french film|suspicious wife|female doctor|playing piano,"['toronto', 'lesbian', 'remake of french film', 'suspicious wife', 'female doctor', 'playing piano']"
15043,Flesh and the Devil ( 1926 ),Drama|Romance,"['Drama', 'Romance']",1926-12-25,373000,658000,38687,38687,112.0,7.9,11,adultery|brotherhood|friendship|betrayal|bromance|duel|silent film|temptress,"['adultery', 'brotherhood', 'friendship', 'betrayal', 'bromance', 'duel', 'silent film', 'temptress']"
15044,Mother ( 2009 ),Crime|Drama|Mystery|Thriller,"['Crime', 'Drama', 'Mystery', 'Thriller']",2009-05-28,5000000,17112713,30018,30018,128.0,7.6,192,golf|rice|murder|teenage girl|cell phone|golf course|drunk|golf club|needle|drunkenness|acupuncture,"['golf', 'rice', 'murder', 'teenage girl', 'cell phone', 'golf course', 'drunk', 'golf club', 'needle', 'drunkenness', 'acupuncture']"
15045,How to Train Your Dragon ( 2010 ),Fantasy|Adventure|Animation|Family,"['Fantasy', 'Adventure', 'Animation', 'Family']",2010-03-05,165000000,494878759,10191,10191,98.0,7.5,4319,flying|blacksmith|arena|island|night|ship|training|village|forest|viking|friendship|ignorance|flight|nest|dragon|battle|combat|well|warrior,"['flying', 'blacksmith', 'arena', 'island', 'night', 'ship', 'training', 'village', 'forest', 'viking', 'friendship', 'ignorance', 'flight', 'nest', 'dragon', 'battle', 'combat', 'well', 'warrior']"
15052,Universal Soldier: Regeneration ( 2009 ),Adventure|Action|Science Fiction|Thriller,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",2009-10-01,14000000,875386,28510,28510,97.0,5.2,114,dynamite|hostage|superhuman|super soldier|massacre|though guy|police car|super strength,"['dynamite', 'hostage', 'superhuman', 'super soldier', 'massacre', 'though guy', 'police car', 'super strength']"
15066,Micmacs ( 2009 ),Action|Comedy|Crime,"['Action', 'Comedy', 'Crime']",2009-10-28,33000000,14000000,27936,27936,100.0,6.8,150,unemployment|contortionist|human cannonball,"['unemployment', 'contortionist', 'human cannonball']"
